Origin_Label,Destination_Label,Product_Code,TFT_Forecast_Year+1,TFT_Forecast_Year+2
United States of America,Kazakhstan,9404,1.0427911,1.017229
United States of America,Kenya,2106,0.50945693,0.3629018
United States of America,Kenya,3304,0.2238675,0.23331204
United States of America,Kenya,6109,1.2255175,0.5725803
United States of America,Kenya,8517,18.85482,18.532665
United States of America,Kenya,9404,0.2881401,0.26328042
United States of America,Kiribati,8517,17.627941,19.951939
United States of America,"Korea, Republic of",2106,0.8433519,0.81153315
United States of America,"Korea, Republic of",3304,0.6225091,0.60805625
United States of America,"Korea, Republic of",6109,3.504676,2.9621937
United States of America,"Korea, Republic of",8517,10.748313,10.579967
United States of America,"Korea, Republic of",9404,0.7340926,0.73545
United States of America,Kuwait,2106,0.46914244,0.45804903
United States of America,Kuwait,3304,1.1337878,1.0456538
United States of America,Kuwait,6109,2.1054208,2.1417446
United States of America,Kuwait,8517,30.144073,28.78836
United States of America,Kuwait,9404,0.78896874,0.72662264
United States of America,Kyrgyzstan,2106,0.26038697,0.33938858
United States of America,Kyrgyzstan,3304,0.69891757,0.7207011
United States of America,Kyrgyzstan,8517,8.009001,7.9251604
United States of America,Lao People's Dem. Rep.,2106,0.45125794,0.2914283
United States of America,Latvia,2106,0.99767226,0.94715255
United States of America,Latvia,3304,0.5190474,0.6173681
United States of America,Latvia,8517,15.811132,15.445316
United States of America,Latvia,9404,0.41658252,0.435225
United States of America,Lebanon,2106,0.41948217,0.4097828
United States of America,Lebanon,3304,0.57078916,0.54556406
United States of America,Lebanon,6109,1.8642454,1.7858918
United States of America,Lebanon,8517,10.50191,10.253224
United States of America,Lebanon,9404,0.40150303,0.39826652
United States of America,Lesotho,2106,0.06277764,0.05914852
United States of America,Lesotho,6109,0.096291564,0.08847297
United States of America,Lesotho,8517,25.983427,26.64104
United States of America,Libya,2106,0.34903726,0.3572611
United States of America,Libya,3304,0.36482194,0.37621778
United States of America,Libya,8517,5.188261,5.0995965
United States of America,Lithuania,2106,0.43676984,0.44054425
United States of America,Lithuania,3304,1.14511,1.1001948
United States of America,Lithuania,6109,4.316118,3.9263997
United States of America,Lithuania,8517,16.815496,16.475891
United States of America,Lithuania,9404,1.6576324,1.0217979
United States of America,Luxembourg,2106,0.8878855,0.8225711
United States of America,Luxembourg,3304,0.99636126,1.0017258
United States of America,Luxembourg,6109,1.4299651,1.4265897
United States of America,Luxembourg,8517,5.844799,6.046861
United States of America,Luxembourg,9404,1.2663231,1.2115235
United States of America,Madagascar,2106,0.19073923,0.22157474
United States of America,Madagascar,3304,0.33648965,0.2806715
United States of America,Madagascar,9404,0.12579289,0.15727489
United States of America,Malawi,2106,0.019529052,0.009977059
United States of America,Malawi,3304,0.27195057,0.09017906
United States of America,Malawi,6109,0.7595748,0.6307917
United States of America,Malawi,8517,32.19821,26.183533
United States of America,Malawi,9404,0.17316034,0.1729708
United States of America,Malaysia,2106,0.499433,0.45202905
United States of America,Malaysia,3304,0.42889428,0.39008844
United States of America,Malaysia,6109,1.8736984,1.8808397
United States of America,Malaysia,8517,6.6788764,7.356524
United States of America,Maldives,2106,0.23817834,0.16840369
United States of America,Maldives,3304,0.35819715,0.34999067
