Origin_Label,Destination_Label,Product_Code,Year_label,XGB_Forecast
Albania,Qatar,8517,2022,20.330614
Albania,Romania,2106,2022,10.6770735
Albania,Romania,3304,2022,1.2029489
Albania,Romania,6109,2022,2.30471
Albania,Romania,8517,2022,25.02755
Albania,Romania,9404,2022,1.5573521
Albania,Russian Federation,6109,2022,6.2570834
Albania,Russian Federation,9404,2022,30.141869
Albania,Rwanda,8517,2022,33.104076
Albania,Saudi Arabia,6109,2022,6.4346333
Albania,Saudi Arabia,8517,2022,45.248024
Albania,Senegal,2106,2022,0.7683269
Albania,Senegal,3304,2022,0.7900011
Albania,Senegal,6109,2022,1.7142503
Albania,Senegal,8517,2022,41.22179
Albania,Senegal,9404,2022,18.542131
Albania,Serbia,2106,2022,22.219683
Albania,Serbia,3304,2022,16.445665
Albania,Serbia,6109,2022,5.0269647
Albania,Serbia,8517,2022,26.698277
Albania,Serbia,9404,2022,18.620161
Albania,Sierra Leone,8517,2022,24.662548
Albania,Sierra Leone,9404,2022,18.53536
Albania,Singapore,2106,2022,3.6231987
Albania,Singapore,3304,2022,1.1857911
Albania,Singapore,6109,2022,3.443212
Albania,Singapore,8517,2022,26.825722
Albania,Slovakia,2106,2022,0.7296714
Albania,Slovakia,3304,2022,1.3377984
Albania,Slovakia,6109,2022,8.207101
Albania,Slovakia,8517,2022,15.025651
Albania,Slovenia,3304,2022,2.6749034
Albania,Slovenia,6109,2022,4.8397937
Albania,Slovenia,8517,2022,41.08693
Albania,Spain,6109,2022,3.5794752
Albania,Sri Lanka,2106,2022,1.5763892
Albania,State of Palestine,6109,2022,2.6452425
Albania,State of Palestine,8517,2022,32.798668
Albania,Sweden,9404,2022,18.92601
Albania,"Switzerland, Liechtenstein",2106,2022,0.91875654
Albania,"Switzerland, Liechtenstein",3304,2022,2.9723003
Albania,"Switzerland, Liechtenstein",6109,2022,4.7166333
Albania,"Switzerland, Liechtenstein",8517,2022,72.0402
Albania,"Switzerland, Liechtenstein",9404,2022,21.728924
Albania,"Tanzania, United Republic of",8517,2022,24.758488
Albania,"Tanzania, United Republic of",9404,2022,18.888695
Albania,Thailand,6109,2022,5.394303
Albania,Thailand,8517,2022,73.03015
Albania,Trinidad and Tobago,6109,2022,2.65489
Albania,Trinidad and Tobago,8517,2022,26.432877
Albania,Tunisia,6109,2022,12.542151
Albania,Turkiye,3304,2022,1.9060532
Albania,Turkiye,6109,2022,28.389635
Albania,Turkiye,8517,2022,70.94769
Albania,Ukraine,2106,2022,1.3073937
Albania,Ukraine,6109,2022,4.932566
Albania,Ukraine,8517,2022,62.565388
Albania,Ukraine,9404,2022,18.83421
Albania,United Arab Emirates,2106,2022,3.6205392
Albania,United Arab Emirates,3304,2022,3.568677
Albania,United Arab Emirates,6109,2022,5.9207797
Albania,United Arab Emirates,8517,2022,12.0385
Albania,United Arab Emirates,9404,2022,8.311581
Albania,United Kingdom,2106,2022,1.0262307
Albania,United Kingdom,6109,2022,2.5283387
Albania,United Kingdom,8517,2022,28.838718
Albania,United States of America,2106,2022,1.3074175
Albania,United States of America,3304,2022,1.211096
Albania,United States of America,6109,2022,4.6215096
Albania,United States of America,8517,2022,42.40699
Albania,United States of America,9404,2022,18.903893
