Economy_Label,Q1 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value
"Saudi Arabia",191.5,198.19,216.24,199.3,213.33,226.22
"Senegal",57.32,56.7,63.77,50.27,51.65,53.5
"Serbia and Montenegro",,,,,,
"Seychelles",29.86,22.49,21.7,27.08,28.39,24.02
"Sierra Leone",25.84,22.95,25.94,17.81,17.85,17.9
"Singapore",556.69,537.84,597.43,576.27,566.78,581.3
"Sint Maarten (Dutch part)",38.66,44.32,46.2,39.11,39.89,40.24
"Slovenia",77.39,75.05,71.74,66.16,74.23,67.45
"Solomon Islands",36.08,32.55,33.61,34.43,30.85,30.5
"Somalia",22.97,29.01,26.99,27.68,29.24,35.08
"South Africa",134.74,123.3,118.21,116.76,114.99,114.84
"Spain",389.86,380.24,383.85,367,370.63,381.89
"Sri Lanka",197.34,220.44,222.7,213.76,223.42,244.99
"Sudan",43.45,34.05,26.72,22.96,24.75,22.67
"Sudan (...2011)",,,,,,
"Suriname",39.92,35.52,34.9,36.11,39.35,38.98
"Sweden",121.71,154.98,126.07,118.84,112.99,107.96
"Syrian Arab Republic",32.26,37.17,34.75,31.75,30.88,29.91
"Thailand",214.41,207.39,217.6,225.36,218,229.87
"Timor-Leste",11.37,11.68,11.27,11.27,11.27,12.22
"Togo",83.46,76.53,84.87,83.03,82.99,90.34
"Tonga",23.89,28.66,28.31,25.89,22.28,29.21
"Trinidad and Tobago",77.97,59.88,62.47,61.91,62.02,62.25
"Tunisia",50.75,41.3,41.1,37.28,34.29,27.73
"Turkiye",216.95,227.97,242.1,229.03,225.81,231.22
"Turks and Caicos Islands",,,,4.13,4.13,4.13
"Tuvalu",8.79,5.49,5.55,5.05,5.05,4.37
"Ukraine",63.69,63.95,71.35,66.52,65.24,76.3
"United Arab Emirates",309.05,289.71,295.17,275.04,277.66,278.61
"United Kingdom",408.22,401.52,395.65,400.13,386.94,395.59
"United Republic of Tanzania",52.34,49.74,52.28,64.03,50.62,48.54
"United States",486.62,469.29,471.66,481.63,484.29,508.45
"United States Virgin Islands",23.15,23.34,21.53,21.58,22.71,26.97
"Uruguay",79.19,84.01,86.76,84.22,83.04,84.82
"Vanuatu",24.07,24.25,22.89,22.14,23.49,23.48
"Venezuela (Bolivarian Rep. of)",61.99,54.49,49.11,48.31,43.83,38.15
"Viet Nam",270.79,276.31,301.41,311.47,309.41,345.29
"Wallis and Futuna Islands",8.18,5.49,5.55,5.05,5.05,
"Yemen",33.86,21.17,16.3,15.17,21.59,19.22
